price,latitude,longitude,bedrooms,bathrooms,land_size,building_size,carports,maid_bedrooms,maid_bathrooms,floors,building_age,property_condition,garages,furnishing
5750000000.0,-6.2849775,106.970127,5.0,4.0,400.0,398.0,2.0,1.0,2.0,2.0,7.0,2,1.0,0
1500000000.0,-6.2849775,106.970127,3.0,2.0,100.0,136.0,1.0,1.0,1.0,2.0,0.0,1,1.0,1
6800000000.0,-6.2849775,106.970127,8.0,9.0,700.0,1400.0,2.0,2.0,2.0,4.0,11.0,1,2.0,1
3000000000.0,-6.2849775,106.970127,4.0,5.0,250.0,400.0,1.0,0.0,0.0,1.0,0.0,1,1.0,1
168000000.0,-6.2849775,106.970127,2.0,1.0,60.0,19.0,1.0,0.0,0.0,1.0,0.0,2,1.0,0
870000000.0,-6.2849775,106.970127,3.0,1.0,90.0,80.0,1.0,0.0,0.0,2.0,0.0,2,0.0,0
495000000.0,-6.2849775,106.970127,2.0,1.0,86.0,45.0,1.0,0.0,0.0,1.0,0.0,2,1.0,1
275000000.0,-6.2849775,106.970127,2.0,1.0,60.0,36.0,1.0,0.0,0.0,1.0,0.0,2,1.0,1
300000000.0,-6.2849775,106.970127,2.0,2.0,70.0,70.0,1.0,0.0,0.0,1.0,1.0,1,1.0,1
1440000000.0,-6.2849775,106.970127,2.0,2.0,55.0,60.0,1.0,1.0,0.0,2.0,0.0,2,0.0,1
764000000.0,-6.2849775,106.970127,3.0,3.0,78.0,83.0,1.0,0.0,0.0,2.0,0.0,2,0.0,0
764000000.0,-6.2849775,106.970127,3.0,3.0,78.0,83.0,2.0,0.0,0.0,2.0,0.0,2,0.0,0
495000000.0,-6.2849775,106.970127,2.0,1.0,86.0,45.0,1.0,0.0,0.0,1.0,0.0,2,1.0,1
1500000000.0,-6.2849775,106.970127,4.0,3.0,100.0,136.0,2.0,1.0,1.0,2.0,0.0,2,2.0,1
300000000.0,-6.358777,107.0348331,2.0,1.0,60.0,36.0,1.0,0.0,0.0,1.0,0.0,2,1.0,0
365000000.0,-6.358777,107.0348331,2.0,1.0,60.0,36.0,1.0,0.0,0.0,1.0,0.0,2,0.0,0
350000000.0,-6.358777,107.0348331,2.0,1.0,60.0,38.0,1.0,0.0,1.0,1.0,0.0,2,0.0,0
351000000.0,-6.358777,107.0348331,2.0,1.0,60.0,38.0,1.0,0.0,0.0,1.0,2.0,2,0.0,0
393000000.0,-6.358777,107.0348331,2.0,1.0,60.0,36.0,1.0,0.0,0.0,1.0,0.0,1,0.0,0
392000000.0,-6.358777,107.0348331,2.0,1.0,72.0,36.0,1.0,0.0,0.0,1.0,1.0,2,0.0,0
440000000.0,-6.358777,107.0348331,2.0,1.0,66.0,36.0,1.0,0.0,0.0,1.0,1.0,2,1.0,1
351000000.0,-6.358777,107.0348331,2.0,1.0,60.0,38.0,1.0,0.0,0.0,1.0,2.0,2,0.0,0
